id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.46094E+18,1.46094E+18,2021-11-17 19:42:44 Ulaanbaatar Standard Time,11/17/21,19:42:44,800,1.12394E+18,epistletodippy,kilgrave/dmitri 🍂 semi-ia,,bong go is in the middle of the fucking page 😭😭😭,en,[],[],[],0,0,0,[],[],https://twitter.com/epistletodippy/status/1460936440234143744,FALSE,,0,,,,,,,,[],,,,
1.46094E+18,1.46089E+18,2021-11-17 19:42:29 Ulaanbaatar Standard Time,11/17/21,19:42:29,800,1.34352E+18,marc18rob,RobMarc18,,"@leydieva Wag na wag,block na lang agad yan.Baka nga sumpa pa ni Bong Go,mahawahan ng itsura nakupo lalo!😂",tl,[],[],[],0,0,0,[],[],https://twitter.com/Marc18Rob/status/1460936376497565701,FALSE,,0,,,,,,,,"[{'screen_name': 'leydieva', 'name': '@vea66', 'id': '46114089'}]",,,,
1.46094E+18,1.46079E+18,2021-11-17 19:42:11 Ulaanbaatar Standard Time,11/17/21,19:42:11,800,2788133423,jnvlmcon,belmacon,,@OneBelle_081021 @GrowlHarhar Alam kaya ni PRRD ang nasa utak ni Bong Go?,tl,[],[],[],0,0,0,[],[],https://twitter.com/Jnvlmcon/status/1460936299762884613,FALSE,,0,,,,,,,,"[{'screen_name': 'OneBelle_081021', 'name': 'Isa (Kampana 🛎)', 'id': '1424970537961361408'}, {'screen_name': 'GrowlHarhar', 'name': 'Bong Onil', 'id': '1300331642041499648'}]",,,,
1.46094E+18,1.46091E+18,2021-11-17 19:39:00 Ulaanbaatar Standard Time,11/17/21,19:39:00,800,1.4179E+18,wifeofalimerc,MARCOS-DUTERTE ✌👊❤💚,,"@idgafpoofies pabibo tong si bong go, nakakagago",tl,[],[],[],0,0,0,[],[],https://twitter.com/WifeOfAliMERC/status/1460935500072587268,FALSE,,0,,,,,,,,"[{'screen_name': 'idgafpoofies', 'name': 'Polly', 'id': '1371263563600261122'}]",,,,
1.46094E+18,1.46093E+18,2021-11-17 19:38:05 Ulaanbaatar Standard Time,11/17/21,19:38:05,800,5431432,aikalog,Aika! (taylor's version),,@BonnMonzon Office ni Bong Go :/,tl,[],[],[],0,0,0,[],[],https://twitter.com/aikalog/status/1460935270216335362,FALSE,,0,,,,,,,,"[{'screen_name': 'BonnMonzon', 'name': 'Hulikabal Bonn | Massage & Sound Meditation', 'id': '162301451'}]",,,,
1.46094E+18,1.46093E+18,2021-11-17 19:38:03 Ulaanbaatar Standard Time,11/17/21,19:38:03,800,1.42422E+18,philnation612,Phil Nation,,"@alvinelchico @DorisBigornia Naniniwala pa rin ba tayo sa drama ni Duterte? Aatras si Bong Go pag malapit na Election. Ang purpose ni Bong Go ay para hindi si BBM ang sasagot sa mga issues like EJK, WPS at Pharmaly. Duterte would not gamble na mahati ang boto ng Administration.",tl,[],[],[],0,0,0,[],[],https://twitter.com/philnation612/status/1460935259025920009,FALSE,,0,,,,,,,,"[{'screen_name': 'alvinelchico', 'name': 'alvin elchico', 'id': '122607870'}, {'screen_name': 'DorisBigornia', 'name': 'Doris Bigornia', 'id': '293417794'}]",,,,
1.46094E+18,1.46094E+18,2021-11-17 19:37:45 Ulaanbaatar Standard Time,11/17/21,19:37:45,800,8.39457E+17,johaines8,Hai Nes,,"PRRD has to support Presidential candidacy of his PARTY-MATE Sen Bong Go. I'm sure there's nothing personal vs BBM in his move. Let's just continue the UNWAVERING support to the new breed of politicians, the non-trapo, the visionaries #BBMSARA2022 .",en,[],[],[],0,0,1,['bbmsara2022'],[],https://twitter.com/Johaines8/status/1460935185521065988,FALSE,,0,,,,,,,,[],,,,
1.46093E+18,1.46091E+18,2021-11-17 19:36:33 Ulaanbaatar Standard Time,11/17/21,19:36:33,800,50880437,panchomenk,pancho,,@A08732549Aquino @gmanews ang tanong kanino ka na ngaun? bong go o bongbong? isa ka pa sa mabibilis magpalit ng kulay. mga sabay sa agos.,tl,[],[],[],0,0,0,[],[],https://twitter.com/panchomenk/status/1460934882926891013,FALSE,,0,,,,,,,,"[{'screen_name': 'A08732549Aquino', 'name': 'Ronald Aquino', 'id': '1103671648383848448'}, {'screen_name': 'gmanews', 'name': 'GMA News', 'id': '39453212'}]",,,,
1.46093E+18,1.46093E+18,2021-11-17 19:35:38 Ulaanbaatar Standard Time,11/17/21,19:35:38,800,376249708,dlspineda,DLS Pineda,,Ang gusto ko talagang makitang ma-throwdown dito sa Lascañas affidavit ay si Alan Cayetano tang ama ka at si Bong Go tang ama ka rin.,tl,[],[],[],0,0,1,[],[],https://twitter.com/dlspineda/status/1460934653582348293,FALSE,,0,,,,,,,,[],,,,
1.46093E+18,1.46059E+18,2021-11-17 19:32:46 Ulaanbaatar Standard Time,11/17/21,19:32:46,800,7.90821E+17,ipelustre,Philip Lustre Jr.,,"@isabelmerana Ano si Bong Go, pigsa?",tl,[],[],[],1,0,3,[],[],https://twitter.com/IpeLustre/status/1460933929821609991,FALSE,,0,,,,,,,,"[{'screen_name': 'isabelmerana', 'name': 'bella', 'id': '140517029'}]",,,,
1.46093E+18,1.46091E+18,2021-11-17 19:32:35 Ulaanbaatar Standard Time,11/17/21,19:32:35,800,1.41533E+18,macariobonifac1,Macario Bonifacio,,"@inquirerdotnet @NAMercadoINQ @MacarioBonifac1  Akala ng mga @Mokong na Politiko ganun ka lakas si @Butangera,..si Bong Go apple of the eyes ng Planet of the Apes. #LeniforPresident2022  #KikoforVicePresident2022",tl,"[{'screen_name': 'mokong', 'name': 'emily nash', 'id': '11125132'}, {'screen_name': 'butangera', 'name': 'eileen vee', 'id': '189405812'}]",[],[],0,0,0,"['leniforpresident2022', 'kikoforvicepresident2022']",[],https://twitter.com/MacarioBonifac1/status/1460933886045667339,FALSE,,0,,,,,,,,"[{'screen_name': 'inquirerdotnet', 'name': 'Inquirer', 'id': '15448383'}, {'screen_name': 'NAMercadoINQ', 'name': 'Neil Arwin Mercado', 'id': '286460936'}]",,,,
