Unnamed: 0,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,cleaned_text,EN_PERCENTAGE,removed_stopwords
0,1.46094e+18,1.46094e+18,2021-11-17 19:42:44 Ulaanbaatar Standard Time,11/17/21,19:42:44,800,1.12394e+18,epistletodippy,kilgrave/dmitri 🍂 semi-ia,,bong go is in the middle of the fucking page 😭😭😭,en,[],[],[],0,0,0,[],[],https://twitter.com/epistletodippy/status/1460936440234143744,False,,0,,,,,,,,[],,,,,bong go is in the middle of the fucking page,0.9,bong go middle fucking page
1,1.46094e+18,1.46089e+18,2021-11-17 19:42:29 Ulaanbaatar Standard Time,11/17/21,19:42:29,800,1.34352e+18,marc18rob,RobMarc18,,"@leydieva Wag na wag,block na lang agad yan.Baka nga sumpa pa ni Bong Go,mahawahan ng itsura nakupo lalo!😂",tl,[],[],[],0,0,0,[],[],https://twitter.com/Marc18Rob/status/1460936376497565701,False,,0,,,,,,,,"[{'screen_name': 'leydieva', 'name': '@vea66', 'id': '46114089'}]",,,,,Don&#39;t wagblock right away. Maybe Bong Gomahawahan&#39;s curse is even worse.,0.4117647058823529,Don&#39;t wagblock right away. Maybe Bong Gomahawahan&#39;s curse even worse.
2,1.46094e+18,1.46079e+18,2021-11-17 19:42:11 Ulaanbaatar Standard Time,11/17/21,19:42:11,800,2788133423.0,jnvlmcon,belmacon,,@OneBelle_081021 @GrowlHarhar Alam kaya ni PRRD ang nasa utak ni Bong Go?,tl,[],[],[],0,0,0,[],[],https://twitter.com/Jnvlmcon/status/1460936299762884613,False,,0,,,,,,,,"[{'screen_name': 'OneBelle_081021', 'name': 'Isa (Kampana 🛎)', 'id': '1424970537961361408'}, {'screen_name': 'GrowlHarhar', 'name': 'Bong Onil', 'id': '1300331642041499648'}]",,,,,PRRD knows what&#39;s in Bong Go&#39;s brain,0.4,PRRD knows what&#39;s Bong Go&#39;s brain
3,1.46094e+18,1.46091e+18,2021-11-17 19:39:00 Ulaanbaatar Standard Time,11/17/21,19:39:00,800,1.4179e+18,wifeofalimerc,MARCOS-DUTERTE ✌👊❤💚,,"@idgafpoofies pabibo tong si bong go, nakakagago",tl,[],[],[],0,0,0,[],[],https://twitter.com/WifeOfAliMERC/status/1460935500072587268,False,,0,,,,,,,,"[{'screen_name': 'idgafpoofies', 'name': 'Polly', 'id': '1371263563600261122'}]",,,,,pabibo tong si bong go nakakagago,0.6666666666666666,pabibo tong si bong go nakakagago
4,1.46094e+18,1.46093e+18,2021-11-17 19:38:05 Ulaanbaatar Standard Time,11/17/21,19:38:05,800,5431432.0,aikalog,Aika! (taylor's version),,@BonnMonzon Office ni Bong Go :/,tl,[],[],[],0,0,0,[],[],https://twitter.com/aikalog/status/1460935270216335362,False,,0,,,,,,,,"[{'screen_name': 'BonnMonzon', 'name': 'Hulikabal Bonn | Massage & Sound Meditation', 'id': '162301451'}]",,,,,Office ni Bong Go,1.0,Office ni Bong Go
5,1.46094e+18,1.46093e+18,2021-11-17 19:38:03 Ulaanbaatar Standard Time,11/17/21,19:38:03,800,1.42422e+18,philnation612,Phil Nation,,"@alvinelchico @DorisBigornia Naniniwala pa rin ba tayo sa drama ni Duterte? Aatras si Bong Go pag malapit na Election. Ang purpose ni Bong Go ay para hindi si BBM ang sasagot sa mga issues like EJK, WPS at Pharmaly. Duterte would not gamble na mahati ang boto ng Administration.",tl,[],[],[],0,0,0,[],[],https://twitter.com/philnation612/status/1460935259025920009,False,,0,,,,,,,,"[{'screen_name': 'alvinelchico', 'name': 'alvin elchico', 'id': '122607870'}, {'screen_name': 'DorisBigornia', 'name': 'Doris Bigornia', 'id': '293417794'}]",,,,,Do we still believe in Duterte&#39;s drama Bong Go will withdraw when the Election is near? Bong Go&#39;s purpose is for BBM not to answer issues like EJK WPS and Pharmaly Duterte would not gamble to split the vote of the Administration,0.5319148936170213,Do still believe Duterte&#39;s drama Bong Go withdraw Election near? Bong Go&#39;s purpose BBM answer issues like EJK WPS Pharmaly Duterte would gamble split vote Administration
6,1.46094e+18,1.46094e+18,2021-11-17 19:37:45 Ulaanbaatar Standard Time,11/17/21,19:37:45,800,8.39457e+17,johaines8,Hai Nes,,"PRRD has to support Presidential candidacy of his PARTY-MATE Sen Bong Go. I'm sure there's nothing personal vs BBM in his move. Let's just continue the UNWAVERING support to the new breed of politicians, the non-trapo, the visionaries #BBMSARA2022 .",en,[],[],[],0,0,1,['bbmsara2022'],[],https://twitter.com/Johaines8/status/1460935185521065988,False,,0,,,,,,,,[],,,,,PRRD has to support Presidential candidacy of his PARTYMATE Sen Bong Go Im sure theres nothing personal vs BBM in his move Lets just continue the UNWAVERING support to the new breed of politicians the nontrapo the visionaries,0.7368421052631579,PRRD support Presidential candidacy PARTYMATE Sen Bong Go Im sure theres nothing personal vs BBM move Lets continue UNWAVERING support new breed politicians nontrapo visionaries
7,1.46093e+18,1.46091e+18,2021-11-17 19:36:33 Ulaanbaatar Standard Time,11/17/21,19:36:33,800,50880437.0,panchomenk,pancho,,@A08732549Aquino @gmanews ang tanong kanino ka na ngaun? bong go o bongbong? isa ka pa sa mabibilis magpalit ng kulay. mga sabay sa agos.,tl,[],[],[],0,0,0,[],[],https://twitter.com/panchomenk/status/1460934882926891013,False,,0,,,,,,,,"[{'screen_name': 'A08732549Aquino', 'name': 'Ronald Aquino', 'id': '1103671648383848448'}, {'screen_name': 'gmanews', 'name': 'GMA News', 'id': '39453212'}]",,,,,the question is who are you now bong go or bongbong are you another one that can quickly change color at the same time,0.4090909090909091,question bong go bongbong another one quickly change color time
8,1.46093e+18,1.46093e+18,2021-11-17 19:35:38 Ulaanbaatar Standard Time,11/17/21,19:35:38,800,376249708.0,dlspineda,DLS Pineda,,Ang gusto ko talagang makitang ma-throwdown dito sa Lascañas affidavit ay si Alan Cayetano tang ama ka at si Bong Go tang ama ka rin.,tl,[],[],[],0,0,1,[],[],https://twitter.com/dlspineda/status/1460934653582348293,False,,0,,,,,,,,[],,,,,What I really want to see mathrowdown here in the Lascaas affidavit is Alan Cayetano is your father and Bong Go is your father too,0.68,What I really want see mathrowdown Lascaas affidavit Alan Cayetano father Bong Go father
9,1.46093e+18,1.46059e+18,2021-11-17 19:32:46 Ulaanbaatar Standard Time,11/17/21,19:32:46,800,7.90821e+17,ipelustre,Philip Lustre Jr.,,"@isabelmerana Ano si Bong Go, pigsa?",tl,[],[],[],1,0,3,[],[],https://twitter.com/IpeLustre/status/1460933929821609991,False,,0,,,,,,,,"[{'screen_name': 'isabelmerana', 'name': 'bella', 'id': '140517029'}]",,,,,What a Bong Go boil,0.6,What Bong Go boil
